"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"1390";"431162";103,75;102
"1391";"240330";29,25;29,5
"1392";"220400";9,25;9
"1393";"241470";100;99
"1394";"351250";601,5;617
"1395";"250053";14,5;14,5
"1396";"510735";40;40
"1397";"350535";57,25;56,5
"1398";"510035";51,75;51,5
"1399";"412400";55;55
"1400";"420090";326,75;326
"1401";"291330";50,75;50,5
"1402";"150746";16,75;16,5
"1403";"520850";796;797
"1404";"314545";29,25;29,5
"1405";"330245";1449,5;1447
"1406";"412450";525,25;528
"1407";"170650";35,5;35
"1408";"270530";57,25;57,5
"1409";"315530";175,5;172,5
"1410";"510454";47,5;50,5
"1411";"220560";40;37
"1412";"315810";37,5;37,5
"1413";"432310";26,5;26
"1414";"314820";293;293
"1415";"353770";880,5;867,5
"1416";"355535";533,25;526
"1417";"315590";325,75;324,5
"1418";"210135";5;5
"1419";"310205";144,25;144,5
"1420";"220191";10,5;10,5
"1421";"421810";295;297
"1422";"432290";361;360
"1423";"430673";339,75;347,5
"1424";"510185";19,25;20,5
"1425";"220170";94,75;90,5
"1426";"280220";44,5;45
"1427";"251350";13;13,5
"1428";"310530";689;691,5
"1429";"170765";924,25;808,5
"1430";"240520";62,5;64,5
"1431";"313850";394,75;398,5
"1432";"170310";29,5;29
"1433";"352490";2479;2496
"1434";"412610";1366,75;1385
"1435";"432135";97,25;96,5
"1436";"430180";243,25;242,5
"1437";"411345";152,75;151,5
"1438";"500350";576;574,5
"1439";"251330";20,25;20
"1440";"220552";1;1
"1441";"291090";33;33,5
"1442";"220192";2;2
"1443";"313540";399,25;373
"1444";"353990";1265;1272
"1445";"510665";207,5;207
"1446";"500280";164,5;164,5
"1447";"240280";23;22
"1448";"241415";33,25;32,5
"1449";"220210";169,5;164
"1450";"316095";21;20
"1451";"270340";83;82
"1452";"354700";561;567
"1453";"431500";146;146,5
"1454";"410845";120,25;128
"1455";"313870";191;190,5
"1456";"313610";215,5;214,5
"1457";"351730";876,25;871,5
"1458";"355490";340,75;345,5
"1459";"510523";55;54
"1460";"411860";108,75;109
"1461";"510618";245,75;242
"1462";"521060";108,75;108
"1463";"410090";141,75;142
"1464";"355320";1881,25;1886,5
"1465";"510680";112,5;112,5
"1466";"354480";340,75;339,5
"1467";"430400";453;453
"1468";"521550";880;880,5
"1469";"210180";45,75;48
"1470";"220435";7,25;8
"1471";"210970";60,75;63,5
"1472";"510310";87;90
"1473";"310770";308,75;308,5
"1474";"411720";324,5;340,5
"1475";"430380";200;201,5
"1476";"251445";8,5;9
"1477";"520085";639,25;636,5
"1478";"520380";111;111
"1479";"431170";560;561,5
"1480";"220930";49;49
"1481";"410710";470,25;482
"1482";"510010";176,25;179,5
"1483";"412530";1420,5;1431
"1484";"431620";81;82
"1485";"240540";24,75;25
"1486";"220253";0;0
"1487";"270220";292;294,5
"1488";"250020";27,75;27,5
"1489";"351560";1668;1678
"1490";"315310";357,75;271,5
"1491";"420060";310;306,5
"1492";"317107";139,75;139
"1493";"420190";294;291
"1494";"421520";250,5;250
"1495";"313660";397,75;398,5
"1496";"270370";21,25;20
"1497";"240490";100,25;100,5
"1498";"220965";4;4
"1499";"350945";2885,75;2892
"1500";"354650";2154,5;2166,5
"1501";"316410";123,5;123,5
"1502";"220272";8;8
"1503";"210215";4,25;4,5
"1504";"314795";9;9
"1505";"353610";339;342
"1506";"412265";88,5;89
"1507";"311190";191,75;189,5
"1508";"220213";26,5;21,5
"1509";"316550";128;135,5
"1510";"211227";5;5
"1511";"421003";1015,25;1037,5
"1512";"250403";14;14
"1513";"350055";959,5;960,5
"1514";"220987";3,75;4
"1515";"250170";98,75;101,5
"1516";"250880";74,5;74
"1517";"412035";118,5;117,5
"1518";"280160";188,5;191,5
"1519";"316340";609,5;609,5
