"";"MUNIC_RES";"n";"total";"prop"
"581";210770;594;1041;0,570605187319885
"582";210780;304;995;0,305527638190955
"583";210790;1706;3159;0,540044317822096
"584";210800;647;1155;0,56017316017316
"585";210805;56;212;0,264150943396226
"586";210810;873;1784;0,489349775784753
"587";210820;1532;3798;0,403370194839389
"588";210825;584;1258;0,46422893481717
"589";210830;909;1719;0,528795811518325
"590";210840;547;939;0,582534611288605
"591";210845;93;344;0,270348837209302
"592";210850;574;1042;0,550863723608445
"593";210860;889;3418;0,26009362200117
"594";210870;582;1084;0,53690036900369
"595";210880;604;802;0,753117206982544
"596";210890;688;1613;0,426534407935524
"597";210900;643;1935;0,332299741602067
"598";210905;36;135;0,266666666666667
"599";210910;1035;2278;0,454345917471466
"600";210920;338;646;0,523219814241486
"601";210923;79;207;0,381642512077295
"602";210927;63;310;0,203225806451613
"603";210930;460;672;0,68452380952381
"604";210940;553;947;0,583949313621964
"605";210945;471;1198;0,393155258764608
"606";210950;784;1639;0,478340451494814
"607";210955;92;315;0,292063492063492
"608";210960;2167;3489;0,62109486959014
"609";210970;198;344;0,575581395348837
"610";210975;238;464;0,512931034482759
"611";210980;830;1844;0,450108459869848
"612";210990;1384;4168;0,332053742802303
"613";211000;1036;3093;0,334949886841254
"614";211003;1971;3215;0,613063763608087
"615";211010;853;1366;0,624450951683748
"616";211020;1193;1852;0,644168466522678
"617";211023;78;193;0,404145077720207
"618";211027;450;690;0,652173913043478
"619";211030;527;973;0,541623843782117
"620";211040;277;581;0,476764199655766
"621";211050;756;1829;0,413340623291416
"622";211060;836;1448;0,577348066298343
"623";211065;78;142;0,549295774647887
"624";211070;546;1177;0,463891248937978
"625";211080;239;376;0,63563829787234
"626";211085;244;498;0,48995983935743
"627";211090;138;314;0,439490445859873
"628";211100;448;890;0,503370786516854
"629";211102;438;811;0,540073982737361
"630";211105;162;419;0,386634844868735
"631";211107;41;282;0,145390070921986
"632";211110;710;1517;0,46802900461437
"633";211120;458;3613;0,126764461666205
"634";211125;318;689;0,461538461538462
"635";211130;5236;41856;0,125095565749235
"636";211140;843;1873;0,450080085424453
"637";211150;535;1569;0,340981516889739
"638";211153;291;514;0,566147859922179
"639";211157;5;32;0,15625
"640";211160;497;911;0,545554335894621
"641";211163;37;87;0,425287356321839
"642";211167;34;97;0,350515463917526
"643";211170;1108;2239;0,494863778472532
"644";211172;153;688;0,222383720930233
"645";211174;270;592;0,456081081081081
