"";"COD6D";"adm";"atencao_basica";"assist_hosp";"suporte";"vigil_epidem";"alimentacao";"trabalhador";"educ_infantil";"direitos";"saneamento_rural";"saneamento_urb";"desenv";"outros";"total"
"351";"314360";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"352";"431123";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"353";"521160";0;0;60000;0;0;0;0;0;0;0;0;0;0;60000
"354";"240640";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"355";"351010";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"356";"431647";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"357";"431238";0;35000;0;0;0;0;0;0;0;0;0;0;0;35000
"358";"353380";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"359";"350620";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"360";"421575";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"361";"521600";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"362";"521305";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"363";"410340";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"364";"250937";0;0;0;0;0;0;0;0;0;0;67500;0;0;67500
"365";"250937";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"366";"312640";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"367";"317030";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"368";"350060";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"369";"353215";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"370";"351650";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"371";"310130";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"372";"431532";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"373";"352790";0;250000;0;0;0;0;0;0;0;0;0;0;0;250000
"374";"431845";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"375";"432146";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"376";"355365";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"377";"510645";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"378";"410270";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"379";"412420";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"380";"354440";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"381";"430107";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"382";"316230";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"383";"420757";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"384";"520680";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"385";"421430";0;0;0;0;0;0;0;0;0;0;0;0;0;0
