"";"COD7D";"Municipio";"COD6D";"Aracaju";"Belem";"Belo_Horizonte";"Boa_Vista";"Brasilia";"Campo_Grande";"Cuiaba";"Curitiba";"Florianopolis";"Fortaleza";"Goiania";"Joao_Pessoa";"Macapa";"Maceio";"Manaus";"Natal";"Palmas";"Porto_Alegre";"Porto_Velho";"Recife";"Rio_Branco";"Rio_de_Janeiro";"Salvador";"Sao_Luis";"Sao_Paulo";"Teresina";"Vitoria";"LessDistant"
"853";"2700904";"BELO MONTE";"270090";130531,985997318;1567334,48103609;1332168,32470094;2975599,1000195;1326798,15178049;2201908,69302305;2128931,68568633;2153835,9978574;2296861,22318079;683306,5159769;1511156,10440231;388840,126546441;1886135,87137243;165429,795271145;2672428,99108057;493757,523611991;1202953,54961666;2673573,84710949;2977933,76754605;316527,233840077;3418289,5968582;1597256,50555479;367719,421236737;1118664,09711783;1831562,25010381;804584,798980606;1204738,19661307;130,53199
"910";"2701001";"BOCA DA MATA";"270100";177720,011654708;1648059,30098507;1407785,21231759;3066486,6181308;1430738,93330946;2301696,02659304;2238905,1351474;2232016,74237696;2367441,32349881;700102,448599417;1614781,83143604;312026,480022922;1966348,10033548;54094,3013137273;2774572,06025586;439952,632288211;1314200,6760045;2745858,74187415;3088686,84976074;226348,775382963;3529534,45297242;1659916,45573877;436742,776839366;1188700,11772186;1906205,94470319;882505,808831969;1254733,85167876;54,0943
"1010";"2701100";"BRANQUINHA";"270110";227432,779556706;1634699,37267535;1456753,95648303;3059271,84325799;1468789,81187938;2342674,39904296;2269704,6528319;2280640,33782157;2417348,72168889;661382,524646695;1653094,54424973;261600,772266041;1952343,81106842;48953,1388415737;2777724,29077522;388743,161014326;1333822,03198332;2795552,30776491;3105815,12727098;178845,691433818;3548465,1857571;1710614,80114184;485905,342977651;1169921,52997277;1955442,68510192;869174,112115252;1306033,30262479;48,95314
"1110";"2701209";"CACIMBINHAS";"270120";172309,053229266;1567173,07071918;1382576,06259064;2982908,14680346;1373190,37670889;2249792,42901778;2170163,25644273;2204313,38941101;2347083,87753446;650652,264690076;1557647,9231363;338650,996625134;1885703,49613807;133262,523421193;2689812,54242167;444027,188856347;1235020,94280274;2723898,34048557;3008111,89468159;268448,683667117;3450036,2004292;1646753,67713065;417162,154441678;1111575,956812;1881959,23078703;802165,039573331;1252364,82814315;133,26252
"1210";"2701308";"CAJUEIRO";"270130";205496,792158595;1633285,99981395;1434708,51561213;3055268,62757703;1448552,05282891;2321761,68523018;2251533,90499323;2258590,98371048;2395378,69045426;672423,962905947;1632799,70166022;283522,195249833;1951248,97592766;51369,1889953956;2769427,0642408;409176,985318717;1319236,83284454;2773552,94446459;3092228,25020927;200751,048585728;3534248,70260254;1688861,07200566;463876,498415083;1170901,61970653;1933407,11772905;867584,393435585;1284851,31901254;51,36919
"1310";"2701357";"CAMPESTRE";"270135";288134,127907483;1662944,21662961;1518249,83828325;3093643,19141222;1534569,71057134;2408498,26410618;2333653,94189634;2342599,51214022;2477104,16605856;654422,215830391;1718892,64271718;204951,000778509;1979484,46386018;72048,8102719296;2822717,87961214;343521,712705655;1392358,6430221;2855753,21424306;3162150,81036531;115780,361905589;3605971,33025431;1768136,32680586;547231,854882156;1192237,92863532;2016502,81527118;899163,568349939;1359649,62584856;72,04881
"1410";"2701407";"CAMPO ALEGRE";"270140";158227,279457909;1647621,96516909;1388288,42264763;3063483,11805031;1413136,69083109;2283368,94283966;2223179,52461189;2212525,52268556;2347988,17545289;710852,854717311;1597100,79976765;331361,108171384;1966095,67879499;70533,9676391687;2767778,57529723;458158,41689777;1302018,83681472;2726386,18442008;3077093,64922115;245833,191912008;3517337,95708875;1640627,2391161;417245,870091081;1190574,06709367;1886711,21901757;882417,69943005;1235925,4401483;70,53397
"1510";"2701506";"CAMPO GRANDE";"270150";119858,485337506;1616164,57669712;1345011,6706294;3026194,46471289;1360418,39323407;2231834,46607575;2169601,92236848;2168485,26842803;2306942,28722498;711348,087003175;1544477,28582726;372390,440895372;1934914,00950847;123835,738181106;2723536,96226406;489939,961696901;1250578,82495137;2684716,32262912;3026150,57572777;291898,902796955;3465770,11085396;1602612,5691662;374962,227230875;1164895,25729867;1843972,20448564;852516,429331455;1203013,37131531;119,85849
"1610";"2701605";"CANAPI";"270160";211508,167926618;1492168,71561647;1377812,88226457;2907238,89804995;1335803,28639457;2217108,87961081;2119220,60023321;2195572,10263868;2345033,00676564;601378,801263294;1520337,25067504;365328,380635851;1810779,1191824;204897,819163409;2615967,44429476;447458,500406097;1171652,02186339;2719994,76071207;2942077,15933495;310705,001676929;3385441,45523272;1652392,83565957;427519,922639465;1038650,19185966;1876942,29745255;727546,811811331;1268710,05513788;204,89782
"1710";"2701704";"CAPELA";"270170";212856,695253556;1636415,35326109;1442318,2663874;3059275,73380041;1456643,93277128;2329875,69352404;2259358,20854661;2266264,3719131;2402785,47838211;670838,387581752;1640895,58526411;276201,034403833;1954275,31157614;46809,9133774131;2774774,58991565;403063,581847356;1326292,62944138;2781016,50319449;3099048,05907647;192855,413546749;3541226,9732787;1695982,26132552;471420,451940398;1173187,98830853;1940969,1001893;870744,033306347;1291464,58468254;46,80991
