"";"TOTAL";"COL1992";"COL1993";"COL1994";"COL1995";"COL1996";"COL1997";"COL1998";"COL1999";"COL2000";"COL2001";"COL2002";"COL2003";"COL2004";"COL2005";"COL2006";"COL2007";"COL2008";"COL2009";"COL2010";"COL2011";"COL2012";"COL2013";"COL2014";"COL2015";"COL2016";"COL2017";"COL2018";"COL2019";"COL2020"
"90";"TPDISEC9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;113;113;113;113;113;113;113
"91";"UF_ZI";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"92";"US_ORTP";21;21;25;25;25;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"93";"US_RN";NA;NA;24;24;24;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"94";"US_SADT";20;20;23;23;23;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"95";"US_SANGUE";22;22;26;26;26;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"96";"US_SH";18;18;21;21;21;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"97";"US_SP";19;19;22;22;22;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"98";"US_TOT";23;23;27;27;27;27;23;28;34;34;34;34;34;36;36;37;38;38;38;38;38;38;38;38;38;38;38;38;38
"99";"UTI_INT_AL";NA;NA;NA;NA;NA;NA;NA;NA;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"100";"UTI_INT_AN";NA;NA;NA;NA;NA;NA;NA;NA;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"101";"UTI_INT_IN";NA;NA;NA;NA;NA;NA;NA;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
"102";"UTI_INT_TO";NA;NA;NA;NA;NA;NA;NA;NA;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"103";"UTI_MES_AL";NA;NA;NA;NA;NA;NA;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"104";"UTI_MES_AN";NA;NA;NA;NA;NA;NA;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"105";"UTI_MES_IN";NA;NA;NA;NA;NA;NA;NA;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"106";"UTI_MES_TO";NA;NA;NA;NA;NA;NA;NA;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"107";"UTI_TOTAL";10;10;12;12;12;12;12;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"108";"VAL_ACOMP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;27;28;29;29;29;29;29;29;29;29;29;29;29;29;29
"109";"VAL_OBSANG";NA;NA;NA;NA;NA;NA;NA;NA;30;30;30;30;30;32;32;33;34;34;34;34;34;34;34;34;34;34;34;34;34
"110";"VAL_ORTP";15;15;18;18;18;18;18;22;26;26;26;26;26;28;28;29;30;30;30;30;30;30;30;30;30;30;30;30;30
"111";"VAL_PED1AC";NA;NA;NA;NA;NA;NA;NA;NA;31;31;31;31;31;33;33;34;35;35;35;35;35;35;35;35;35;35;35;35;35
"112";"VAL_RN";NA;NA;17;17;17;17;17;21;25;25;25;25;25;26;26;27;28;28;28;28;28;28;28;28;28;28;28;28;28
"113";"VAL_SADT";14;14;16;16;16;16;16;20;24;24;24;24;24;25;25;26;27;27;27;27;27;27;27;27;27;27;27;27;27
"114";"VAL_SADTSR";NA;NA;NA;NA;NA;NA;20;24;28;28;28;28;28;30;30;31;32;32;32;32;32;32;32;32;32;32;32;32;32
"115";"VAL_SANGUE";16;16;19;19;19;19;19;23;27;27;27;27;27;29;29;30;31;31;31;31;31;31;31;31;31;31;31;31;31
"116";"VAL_SH";12;12;14;14;14;14;14;18;22;22;22;22;22;23;23;24;25;25;25;25;25;25;25;25;25;25;25;25;25
"117";"VAL_SH_FED";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;90;90;90;90;90;90;90;90;90
"118";"VAL_SH_GES";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92;92;92;92;92;92;92;92;92;92
"119";"VAL_SP";13;13;15;15;15;15;15;19;23;23;23;23;23;24;24;25;26;26;26;26;26;26;26;26;26;26;26;26;26
"120";"VAL_SP_FED";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;91;91;91;91;91;91;91;91;91;91
"121";"VAL_SP_GES";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;93;93;93;93;93;93;93;93;93
"122";"VAL_TOT";17;17;20;20;20;20;22;26;32;32;32;32;32;34;34;35;36;36;36;36;36;36;36;36;36;36;36;36;36
"123";"VAL_TRANSP";NA;NA;NA;NA;NA;NA;21;25;29;29;29;29;29;31;31;32;33;33;33;33;33;33;33;33;33;33;33;33;33
"124";"VAL_UCI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;94;94;94;94;94;94;94
"125";"VAL_UTI";NA;NA;NA;NA;NA;NA;NA;27;33;33;33;33;33;35;35;36;37;37;37;37;37;37;37;37;37;37;37;37;37
"126";"VINCPREV";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;65;65;NA;75;68;69;69;69;70;70;70;70;70;70;70;70;70;70
