"";"CODUFMUN";"medicos_g1";"medicos_g2";"medicos_g3"
"539";"510100";4;1;4
"540";"521487";3;1;3
"541";"311640";5;1;5
"542";"313530";4;1;4
"543";"316320";7;1;7
"544";"421590";7;1;7
"545";"251050";4;1;4
"546";"350075";31;1;31
"547";"431055";4;NA;NA
"548";"522190";3;2;1,5
"549";"350910";3;2;1,5
"550";"353205";11,5;2,5;4,6
"551";"316830";5;1;5
"552";"420160";7;1;7
"553";"521971";3;2;1,5
"554";"411065";4;1;4
"555";"280650";7;2;3,5
"556";"241050";6;2;3
"557";"420215";2;1;2
"558";"520650";15;2;7,5
"559";"411729";7;1;7
"560";"520150";7;1;7
"561";"251070";2;1;2
"562";"311540";4;1;4
"563";"240760";6;2;3
"564";"315900";6;4;1,5
"565";"421710";11,5;1;11,5
"566";"311310";6;1;6
"567";"350730";8;1;8
"568";"431535";10;1;10
"569";"520355";11;2;5,5
"570";"510740";3;1;3
"571";"520750";5;1;5
"572";"420415";3;1;3
"573";"315860";11;1;11
"574";"316000";11;1;11
"575";"352950";8;NA;NA
"576";"411640";5;1;5
"577";"353170";5;1;5
"578";"170384";3;2;1,5
"579";"500750";5;2;2,5
"580";"354740";5;1;5
"581";"350080";6;3;2
"582";"315640";20;1;20
"583";"352870";4;2;2
"584";"353960";6;1;6
"585";"313260";9;1;9
"586";"410105";4;1;4
"587";"312150";5;1;5
"588";"410610";5;2;2,5
"589";"421885";1;1;1
"590";"353610";18;NA;NA
"591";"510335";36;7;5,14285714285714
"592";"270270";7;2;3,5
"593";"314030";9;2;4,5
"594";"430185";3;1;3
"595";"411845";12;2;6
"596";"240950";4;2;2
"597";"432254";7;2;3,5
"598";"351590";3;NA;NA
"599";"171840";13;2;6,5
"600";"411630";10;1;10
"601";"412040";9;2;4,5
"602";"521925";6;1;6
"603";"241180";4,5;1;4,5
"604";"350230";18;2;9
"605";"171570";1;1;1
"606";"421540";14;2;7
"607";"430783";2;2;1
"608";"412865";7;3;2,33333333333333
"609";"420110";8;1;8
"610";"521590";3;1;3
"611";"520552";11;3;3,66666666666667
"612";"315840";7;2;3,5
"613";"240860";9;2;4,5
"614";"420445";2;1;2
"615";"313790";8;1;8
"616";"522119";7;2;3,5
"617";"421165";4;1;4
"618";"354010";4;1;4
"619";"420205";8;3;2,66666666666667
"620";"412125";2;2;1
"621";"430915";5;1;5
"622";"310040";5;2;2,5
"623";"412085";7;1;7
"624";"315470";18;1;18
"625";"171110";3;1;3
"626";"240150";5;2;2,5
"627";"251100";4;2;2
"628";"411740";10;1;10
"629";"412010";10,5;1;10,5
"630";"420510";4;1;4
"631";"354320";8;1;8
"632";"316060";4;1;4
"633";"171886";6;3;2
"634";"316300";2;2;1
"635";"316610";4;2;2
"636";"430670";3;2;1,5
"637";"431303";8;1;8
"638";"316980";10;2;5
"639";"521305";3;1;3
"640";"312660";3;2;1,5
"641";"171855";3;2;1,5
"642";"311020";6;2;3
"643";"520670";4;1;4
"644";"411721";6;1;6
"645";"520160";4;2;2
"646";"355690";20;2;10
"647";"220460";2;2;1
"648";"421940";7;1;7
"649";"500310";7;2;3,5
"650";"317150";3;1;3
"651";"352830";6;NA;NA
"652";"314120";8;1;8
"653";"354480";9;NA;NA
"654";"270700";6;2;3
"655";"251560";2;1;2
"656";"420180";4;1;4
"657";"421910";12;1;12
"658";"510517";10;3;3,33333333333333
"659";"353590";6;1;6
"660";"420030";10;2;5
"661";"310960";8;2;4
"662";"270620";5;2;2,5
"663";"353210";23,5;2;11,75
"664";"421605";4;2;2
"665";"317140";10;2;5
"666";"411970";14,5;5;2,9
"667";"521550";24;1;24
"668";"172049";3;2;1,5
"669";"350820";10;1;10
"670";"520945";2;1;2
"671";"431455";7;1;7
"672";"432023";4;1;4
"673";"352300";6,5;2;3,25
"674";"430705";6;1;6
"675";"315630";12;2;6
"676";"352960";9;1;9
"677";"352215";3;1;3
"678";"521935";6;1;6
"679";"312630";14;1;14
"680";"412030";7;2;3,5
"681";"291890";4;1;4
"682";"430005";5;1;5
"683";"421020";2;1;2
"684";"352580";6;3;2
"685";"314190";25;1;25
"686";"420127";12;1;12
"687";"432320";16;1;16
"688";"312740";17;2;8,5
"689";"314370";4;3;1,33333333333333
"690";"171630";2;2;1
"691";"411360";7;1;7
"692";"410302";4;1;4
"693";"421775";1;1;1
"694";"351680";4;1;4
"695";"220955";2;2;1
"696";"280110";5;2;2,5
"697";"315880";4;2;2
"698";"311040";1;1;1
"699";"432345";4;NA;NA
"700";"410900";5;3;1,66666666666667
"701";"421755";2;1;2
"702";"354840";5;2;2,5
"703";"314230";11;2;5,5
"704";"291020";9,5;2,5;3,8
"705";"350890";6;2;3
"706";"316650";3;2;1,5
"707";"430537";5;1;5
"708";"431030";16;3;5,33333333333333
"709";"354960";7;2;3,5
"710";"171890";2;2;1
"711";"410322";3;1;3
"712";"310240";2;1;2
"713";"312850";12;3;4
"714";"350830";5;1;5
"715";"430410";6;1;6
"716";"250950";4;3;1,33333333333333
"717";"220180";7;2;3,5
"718";"420680";5;3;1,66666666666667
"719";"352820";5;1;5
"720";"312470";14;1;14
"721";"314890";8;1;8
"722";"313910";5;2;2,5
"723";"521295";7;2;3,5
"724";"430635";2,5;1,5;1,66666666666667
"725";"316440";11;2;5,5
"726";"311760";6;2;3
"727";"220273";1;1;1
"728";"311520";4;1;4
"729";"270490";6;2;3
"730";"431442";10;2;5
"731";"500280";7;2;3,5
"732";"521910";13;2;6,5
"733";"314420";2;2;1
"734";"431036";6;1;6
"735";"522145";4;1;4
"736";"251470";3,5;2,5;1,4
"737";"350055";15;NA;NA
"738";"521950";7;2;3,5
"739";"311990";4;1;4
"740";"350945";8,5;2;4,25
"741";"430695";5;1;5
"742";"521410";6;2;3
"743";"310610";6;1;6
"744";"520017";5;2;2,5
"745";"241080";6;2;3
"746";"431349";3;2;1,5
"747";"240880";9;2;4,5
"748";"522100";4;1;4
"749";"410090";16;6;2,66666666666667
"750";"354230";11,5;1;11,5
"751";"315940";5;1;5
"752";"521056";4;2;2
"753";"221005";3;2;1,5
"754";"240870";4;2;2
"755";"520915";3;1;3
"756";"431112";7;2;3,5
"757";"354280";3;2;1,5
"758";"316257";4;2;2
"759";"431430";17;2;8,5
"760";"350980";2;2;1
"761";"430265";11;1;11
"762";"411095";19;4;4,75
"763";"411660";5;1;5
"764";"221035";2;2;1
"765";"312010";6;3;2
"766";"421850";14,5;2;7,25
"767";"313140";13,5;1;13,5
"768";"510890";11;2;5,5
"769";"520235";6;1;6
"770";"220225";3,5;2,5;1,4
"771";"250960";6;2;3
"772";"521270";6;2;3
"773";"312440";8;1;8
"774";"410220";9;1;9
"775";"411290";3;1;3
"776";"432340";14;1;14
"777";"420845";15;5;3
"778";"315910";7;1;7
"779";"220530";3,5;2,5;1,4
"780";"312130";9;2;4,5
"781";"352780";3;2;1,5
"782";"251410";4;4;1
"783";"412135";3;1;3
"784";"220130";2;2;1
"785";"312170";6;2;3
"786";"420250";8;2;4
"787";"430155";7,5;2;3,75
"788";"220935";2;2;1
"789";"510627";4;1;4
"790";"313730";2;1;2
"791";"250270";3;2;1,5
"792";"220525";2;2;1
"793";"350300";13;2;6,5
"794";"355550";5;2;2,5
"795";"520735";7;2;3,5
"796";"412210";6;1;6
"797";"431447";16;2;8
"798";"430595";4;3;1,33333333333333
"799";"353280";7;2;3,5
"800";"221135";2;2;1
"801";"411585";18;2;9
"802";"314880";8;2;4
"803";"520520";6;2;3
"804";"320180";11;2;5,5
"805";"355495";15;NA;NA
"806";"316557";9;1;9
"807";"351710";15,5;2;7,75
"808";"310530";13;NA;NA
"809";"421490";18;2;9
"810";"352770";14;2;7
"811";"520260";6;2;3
"812";"431675";10;2;5
"813";"220556";2;2;1
"814";"316330";6;2;3
"815";"352700";45;2;22,5
"816";"120032";6;3;2
"817";"311980";6;1;6
"818";"251500";5;3;1,66666666666667
"819";"350770";6;2;3
"820";"411040";10;1;10
"821";"171240";3;3;1
"822";"312040";7;1;7
"823";"520060";12;3;4
"824";"315320";6;2;3
"825";"170560";3,5;2;1,75
"826";"220275";4;3;1,33333333333333
"827";"353370";3;NA;NA
"828";"520310";1;1;1
"829";"315040";6;3;2
"830";"431090";17;2;8,5
"831";"220285";2;2;1
"832";"292710";7;3;2,33333333333333
"833";"522015";4;2;2
"834";"353640";5;3;1,66666666666667
"835";"421145";4;2;2
"836";"420980";3,5;2,5;1,4
"837";"510726";1;1;1
"838";"316550";3,5;1,5;2,33333333333333
"839";"521540";2,5;1,5;1,66666666666667
"840";"316790";7;5;1,4
"841";"352890";4;NA;NA
"842";"315020";6,5;2,5;2,6
"843";"412862";7;1;7
"844";"316540";10;1;10
"845";"411170";12;2;6
"846";"250470";5;2;2,5
"847";"220342";2;2;1
"848";"521870";6;2;3
"849";"241310";6;3;2
"850";"420270";5;1;5
"851";"510390";7;2;3,5
"852";"170730";5;2;2,5
"853";"520090";10;1;10
"854";"313450";11;2;5,5
"855";"315000";2;1;2
"856";"313590";7;3;2,33333333333333
"857";"314490";2;2;1
"858";"420860";8;2;4
"859";"270590";6;2;3
"860";"314440";11;2;5,5
"861";"432215";4;3;1,33333333333333
"862";"170320";2;2;1
